region_name,centroid_lat,centroid_lon,n_events
Arafura Sea,-9.529281620666668,135.53829075555555,9
"Aru Islands Region, Indonesia",-5.652160352043478,133.66524764782608,23
"Bali Region, Indonesia",-8.394886359727273,115.19247214545454,11
Bali Sea,-7.138122811775676,116.26246933140791,47
Banda Sea,-6.4017942461241315,128.6887861284481,528
Borneo,0.0824838537014109,113.74635174707785,285
"Buru, Indonesia",-3.70613050475,126.37540815,4
Celebes Sea,3.3573045643478263,122.2147516,92
Ceram Sea,-2.6500019666756756,126.82763874324324,37
East of Philippine Islands,5.740306721285714,129.90174495714285,7
"Flores Region, Indonesia",-8.438692694630435,121.36340239130435,46
Flores Sea,-7.174293398121368,120.7406937017624,64
"Halmahera, Indonesia",1.2027150276571348,128.05041268302676,170
"Irian Jaya Region, Indonesia",-1.7452947858158183,133.81878300743801,242
"Irian Jaya, Indonesia",-3.3754679954526314,139.10007420421053,95
Java Sea,-3.7186439007597016,111.06901190354499,153
"Java, Indonesia",-7.584670503652065,108.88710876111558,204
Malay Peninsula,3.875168731482,102.22540281,30
"Minahassa Peninsula, Sulawesi",0.28698502877566273,122.2279135082867,222
"Mindanao, Philippines",5.582505309331976,126.00493977792904,152
Near North Coast of Irian Jaya,-2.2284602053148146,139.23790397962964,54
Near North Coast of West Papua,-2.459825728590101,139.6091591967913,14
Near South Coast of Irian Jaya,-7.7888090613333345,138.28178153333332,6
Near South Coast of West Papua,-5.987219333648682,138.7238006591797,1
"North of Halmahera, Indonesia",3.6775805249800726,128.69096636073692,37
Northern Molucca Sea,1.6782342024519057,126.49232092378548,229
"Northern Sumatra, Indonesia",2.2558074758802915,98.07405711998594,168
Off West Coast of Northern Sumatra,1.8525881132841924,96.14109013678868,62
Philippine Islands Region,5.457812971186311,127.26461333483492,31
Savu Sea,-9.95103071044349,121.93637883001301,15
"Seram, Indonesia",-3.250730299926363,129.38272116796875,81
South China Sea,3.294980199323276,108.53515156034483,116
South Indian Ocean,-8.274525330166666,95.53726189166667,6
"South of Bali, Indonesia",-9.78306140716,115.24682323200001,25
"South of Java, Indonesia",-9.8155081308058,110.28249880686148,130
"South of Sumbawa, Indonesia",-10.554684754904196,117.81407016939318,29
Southern Molucca Sea,-0.45410852486489534,125.35496955563744,88
"Southern Sumatra, Indonesia",-3.021883113443761,101.81127623277364,381
"Southwest of Sumatra, Indonesia",-6.114112182758769,100.56138651415226,198
"Sulawesi, Indonesia",-2.8764214230602834,120.85772765066852,162
"Sulu Archipelago, Philippines",5.141349631222223,120.16224036666667,9
"Sumba Region, Indonesia",-9.956005940007584,119.97136171624827,34
"Sumbawa Region, Indonesia",-8.954813039568084,117.65187342512785,55
"Sunda Strait, Indonesia",-6.379901642771628,104.76009997392327,39
"Talaud Islands, Indonesia",3.931030103642979,126.69046227162956,226
"Tanimbar Islands Reg., Indonesia",-7.032247052692307,131.3236298,52
"Tanimbar Islands Region, Indonesia",-7.070091860754952,130.64839390864955,7
Timor Region,-9.174378204196273,125.14226611750095,62
Timor Sea,-8.953305981208333,128.8344102375,24
"W. Caroline Islands, Micronesia",4.574770407272727,133.93545532727273,11
"West Papua Region, Indonesia",-3.025070661327573,133.58436738026367,20
"West Papua, Indonesia",-3.385724917107498,139.44100952666017,16
