month,target
2008-11-01,183.0
2008-12-01,133.0
2009-01-01,251.0
2009-02-01,350.0
2009-03-01,301.0
2009-04-01,282.0
2009-05-01,217.0
2009-06-01,163.0
2009-07-01,181.0
2009-08-01,244.0
2009-09-01,176.0
2009-10-01,449.0
2009-11-01,415.0
2009-12-01,505.0
2010-01-01,434.0
2010-02-01,484.0
2010-03-01,576.0
2010-04-01,785.0
2010-05-01,21.0
2010-06-01,0.0
2010-07-01,109.0
2010-08-01,449.0
2010-09-01,11.0
2010-10-01,0.0
2010-11-01,135.0
2010-12-01,433.0
2011-01-01,368.0
2011-02-01,397.0
2011-03-01,307.0
2011-04-01,369.0
2011-05-01,9.0
2011-06-01,31.0
2011-07-01,224.0
2011-08-01,306.0
2011-09-01,267.0
2011-10-01,580.0
2011-11-01,609.0
2011-12-01,481.0
2012-01-01,23.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,564.0
2012-05-01,497.0
2012-06-01,435.0
2012-07-01,390.0
2012-08-01,514.0
2012-09-01,12.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,286.0
2013-02-01,472.0
2013-03-01,371.0
2013-04-01,303.0
2013-05-01,314.0
2013-06-01,328.0
2013-07-01,204.0
2013-08-01,170.0
2013-09-01,12.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,289.0
2014-01-01,351.0
2014-02-01,350.0
2014-03-01,8.0
2014-04-01,13.0
2014-05-01,446.0
2014-06-01,312.0
2014-07-01,289.0
2014-08-01,333.0
2014-09-01,9.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,319.0
2015-01-01,367.0
2015-02-01,406.0
2015-03-01,520.0
2015-04-01,426.0
2015-05-01,387.0
2015-06-01,363.0
2015-07-01,363.0
2015-08-01,362.0
2015-09-01,423.0
2015-10-01,413.0
2015-11-01,683.0
2015-12-01,665.0
2016-01-01,487.0
2016-02-01,536.0
2016-03-01,541.0
2016-04-01,495.0
2016-05-01,24.0
2016-06-01,241.0
2016-07-01,444.0
2016-08-01,440.0
2016-09-01,576.0
2016-10-01,411.0
2016-11-01,406.0
2016-12-01,533.0
2017-01-01,555.0
2017-02-01,476.0
2017-03-01,549.0
2017-04-01,558.0
2017-05-01,780.0
2017-06-01,782.0
2017-07-01,555.0
2017-08-01,556.0
2017-09-01,989.0
2017-10-01,718.0
2017-11-01,537.0
2017-12-01,542.0
2018-01-01,804.0
2018-02-01,724.0
2018-03-01,873.0
2018-04-01,699.0
2018-05-01,602.0
2018-06-01,629.0
2018-07-01,1175.0
2018-08-01,2351.0
2018-09-01,1025.0
2018-10-01,1080.0
2018-11-01,1394.0
2018-12-01,989.0
2019-01-01,1312.0
2019-02-01,1023.0
2019-03-01,860.0
2019-04-01,1323.0
2019-05-01,890.0
2019-06-01,854.0
2019-07-01,931.0
2019-08-01,741.0
2019-09-01,935.0
2019-10-01,1092.0
2019-11-01,1372.0
2019-12-01,822.0
2020-01-01,563.0
2020-02-01,812.0
2020-03-01,998.0
2020-04-01,705.0
2020-05-01,594.0
2020-06-01,731.0
2020-07-01,567.0
2020-08-01,848.0
2020-09-01,733.0
2020-10-01,649.0
2020-11-01,747.0
2020-12-01,743.0
2021-01-01,707.0
2021-02-01,563.0
2021-03-01,960.0
2021-04-01,852.0
2021-05-01,972.0
2021-06-01,884.0
2021-07-01,942.0
2021-08-01,757.0
2021-09-01,826.0
2021-10-01,875.0
2021-11-01,1023.0
2021-12-01,1353.0
2022-01-01,1060.0
