loss,mae,val_loss,val_mae,lr
0.7432640790939331,0.5648995041847229,1.8576828241348267,1.0701930522918701,0.001
0.6620094180107117,0.5249103307723999,2.543351173400879,1.4128533601760864,0.001
0.5681522488594055,0.493501216173172,3.21071195602417,1.6327625513076782,0.001
0.5089881420135498,0.4830186069011688,4.135369300842285,1.8693993091583252,0.001
0.43892765045166016,0.4775643050670624,5.2076215744018555,2.089099168777466,0.001
0.3937433362007141,0.4593045711517334,6.116946220397949,2.219879150390625,0.001
0.3293265104293823,0.40470078587532043,6.938486576080322,2.318725109100342,0.001
0.2789578139781952,0.36247551441192627,7.894684791564941,2.413841724395752,0.001
0.236786887049675,0.36748039722442627,8.406081199645996,2.4176506996154785,0.001
0.2310928851366043,0.3830588757991791,8.104955673217773,2.301325798034668,0.001
0.19323748350143433,0.28961893916130066,6.989845275878906,2.056774616241455,0.001
0.15894052386283875,0.26111340522766113,6.806652069091797,2.009364366531372,0.0005
0.16159383952617645,0.28297320008277893,6.385354042053223,1.9200379848480225,0.0005
0.1708044707775116,0.2934887409210205,5.768317222595215,1.7678617238998413,0.0005
0.15867240726947784,0.26659464836120605,6.388403415679932,1.8383163213729858,0.0005
0.1754789650440216,0.31102365255355835,6.116917610168457,1.7751283645629883,0.0005
0.14557397365570068,0.2773459255695343,5.5496087074279785,1.664738655090332,0.0005
0.14052070677280426,0.24756662547588348,5.193395137786865,1.6186027526855469,0.0005
0.14611969888210297,0.25600630044937134,4.9502787590026855,1.5794919729232788,0.0005
0.16312415897846222,0.27299097180366516,4.809645652770996,1.55289626121521,0.0005
0.1443725824356079,0.25125011801719666,4.68807315826416,1.5350534915924072,0.0005
0.14213068783283234,0.24762894213199615,4.759106159210205,1.5415862798690796,0.00025
0.14826317131519318,0.25460657477378845,4.885575294494629,1.5568840503692627,0.00025
0.16595885157585144,0.28760868310928345,4.89639949798584,1.556824803352356,0.00025
0.14658474922180176,0.26162949204444885,4.932167053222656,1.5620629787445068,0.00025
0.16846813261508942,0.29038456082344055,4.883440017700195,1.5560214519500732,0.00025
